,label,sire,dam,gene
38316,3160501,2989194,2989194,59
38327,3161730,2986080,2986080,59
38334,2141882,2014551,2014551,59
38341,2748835,2742942,2742942,59
38343,2428236,2323333,2323333,59
38344,2466059,2421072,2421072,59
38347,2465873,2420686,2420686,59
38351,3162208,2984824,2984824,59
38358,3220944,3033401,3033401,59
38360,3160531,2989147,2989147,59
38365,2748965,2743146,2743146,59
38378,2217831,2058940,2058940,59
38393,2470860,2429949,2429949,59
38426,3493626,3322933,3322933,59
38430,3493634,3322948,3322948,59
38479,3493635,3322972,3322972,59
38862,4537141,4536903,4536903,59
38964,300033475,300000557,300000557,59
39065,300033480,300000557,300000557,59
39403,300033481,300000557,300000557,59
39415,300033497,300000557,300000557,59
39452,300033494,300000557,300000557,59
39464,300033479,300000557,300000557,59
39480,300033495,300000557,300000557,59
39499,300033493,300000557,300000557,59
39533,300033484,300000557,300000557,59
39552,300033474,300000557,300000557,59
39574,4135534,4135515,4135515,59
39897,3427367,3276289,3276289,59
41085,575665,537248,82290,59
41128,86289,86288,86220,59
41282,2885339,2885293,2755645,59
41283,2885352,2885304,419014,59
41359,3256415,3117723,2652502,59
41485,3850010,4790258,4790630,59
41527,91586,88137,91574,59
41532,86312,86288,86311,59
41607,845758,164143,163752,59
41666,1183136,846112,846112,59
41710,207159,92678,92678,59
41738,2259803,2199472,2199472,59
41745,2295300,2199779,2199779,59
41975,1189488,1183129,1183129,59
41979,487854,468999,468999,59
42144,492723,473959,473959,59
42161,487846,468976,468976,59
42241,982030,897307,897307,59
42410,497624,492560,492560,59
42456,639306,593187,593187,59
42519,1193031,1192199,1192199,59
42605,2451992,501558,2159583,59
42628,3489924,3489615,3489615,59
42676,622050,493410,493410,59
42677,622052,493418,493418,59
42778,163537,163536,163536,59
42942,91556,91555,91555,59
42949,575736,505632,164219,59
42950,575823,164219,50533,59
42958,1162275,1112460,1112460,59
43089,786289,95087,95087,59
43209,537870,87094,537638,59
43282,2297059,2295320,2295320,59
43283,2296994,2295320,2295320,59
43364,806863,732614,732614,59
43365,806902,732683,732683,59
43369,95790,95789,95782,59
43463,761779,163752,313134,59
43583,1192189,1189495,1189495,59
43585,1192188,1189494,1189494,59
43586,1192190,1189495,1189495,59
43594,1196540,1195966,1195966,59
43724,470720,94807,94807,59
43793,2136976,2011789,2011789,59
43801,2710071,2586145,2586145,59
43805,494601,489575,489575,59
43806,494658,489661,489661,59
43973,2041167,1965362,1965362,59
44013,621187,576756,164219,59
44021,924037,84209,501558,59
44080,204030,203979,203915,59
44136,2286599,640848,2159598,59
44171,2254861,2254823,2254834,59
44214,3256401,3117559,2239041,59
44215,3256404,3117801,1183120,59
44320,575786,497573,164219,59
44402,575666,537247,82290,59
44429,1254776,1137657,1137657,59
44478,2320023,2174307,2174307,59
44506,3256403,3117800,1183120,59
44652,626993,537263,537263,59
45214,806925,732772,732772,59
45244,1367807,1367638,1367638,59
45354,94778,94777,94777,59
45369,162402,162401,162401,59
45451,95102,95101,95101,59
45452,95116,95115,95115,59
45463,2286627,1324840,2159583,59
45690,92615,92614,92614,59
45698,1189499,1183132,1183132,59
45708,576782,576728,576728,59
45719,94875,94874,94874,59
45720,94885,94884,94884,59
45802,786288,94893,94893,59
45803,94828,94827,94827,59
45804,95109,95108,95108,59
45806,163572,163571,163571,59
45816,95123,95122,95122,59
45858,924038,86225,501558,59
45893,184945,184940,163972,59
45925,1139624,1137657,NA,59
45974,2885336,2885289,777182,59
45975,2885337,2885290,777182,59
45976,2885347,2885290,2885284,59
46778,160548,160547,160547,59
46908,163517,163516,163516,59
46989,2286935,2286885,2286885,59
47125,506423,506253,506253,59
47138,94836,94835,94835,59
47242,2885329,2885282,777182,59
47251,3085566,3085551,3085536,59
47656,489784,471536,471536,59
49032,1006675,766078,765721,59
49116,986421,766116,765759,59
1775,1006594,594983,163537,60
1964,2173925,622050,733707,60
2203,846188,845758,19541,60
2227,1385793,95790,1264834,60
2512,95090,786289,89001,60
2685,3171437,95790,1189530,60
2842,1876321,161047,1193031,60
2934,4346660,95790,1960548,60
3283,4106155,95790,3232700,60
3284,91557,68961,91556,60
3484,956313,845955,845955,60
3516,1856495,1406179,1406179,60
3699,4189575,4010809,4010809,60
3748,740281,575835,575835,60
3765,959952,845958,845958,60
3808,2349052,2286655,2286655,60
3903,4189572,4010806,4010806,60
4098,2865223,2773812,2773812,60
4242,2287235,2199651,2199651,60
4327,3682804,3396601,3396601,60
4529,3281583,3117551,3117551,60
5083,2616170,2547952,2547952,60
5445,1246388,1183016,1183016,60
5632,4465308,4465289,4465289,60
5644,4337898,4337839,4337839,60
5912,2051645,2021238,2021238,60
5962,2051678,2021238,2021238,60
6013,2425303,2349043,2349043,60
6281,2425647,2349046,2349046,60
6387,2425268,2349043,2349043,60
6403,2425374,2349043,2349043,60
6406,2425611,2349046,2349046,60
6497,4018156,4016866,4016866,60
6557,2425604,2349046,2349046,60
6832,4232465,4016870,4016870,60
7007,4465314,4465293,4465293,60
7268,4182958,4016866,4016866,60
7341,3217216,3084778,3084778,60
7417,3217221,3084778,3084778,60
7518,3217330,3084778,3084778,60
7754,2287243,2199671,2199671,60
7757,4018045,4016870,4016870,60
7865,2425307,2349043,2349043,60
8067,1396544,1269390,1269390,60
8465,2425331,2349043,2349043,60
8467,4182954,4016866,4016866,60
8594,4018064,4016805,4016805,60
8730,4150359,3985935,3985935,60
8816,4150474,3985943,3985943,60
8837,2526209,2353926,2353926,60
8881,4508784,4506260,4506260,60
8909,4160654,3985657,3985657,60
9001,3339554,3301518,3301518,60
9013,4150507,3985992,3985992,60
9019,4153373,3987815,3987815,60
9059,4153184,3987764,3987764,60
9095,2347882,2226934,2226934,60
9208,4150322,3985921,3985921,60
9209,4150325,3985921,3985921,60
9220,2526466,2354501,2354501,60
9237,4150515,3985995,3985995,60
9252,4510490,4510385,4510385,60
9272,3087347,3038917,3038917,60
9322,4150362,3985935,3985935,60
9340,4150344,3985928,3985928,60
9356,3032321,2864324,2864324,60
9417,4150373,3985939,3985939,60
9436,4150023,3985668,3985668,60
9438,4150324,3985921,3985921,60
9477,4150346,3985929,3985929,60
9530,4150512,3985994,3985994,60
9537,4465087,4017976,4017976,60
9636,4150024,3985668,3985668,60
9646,4153416,3987841,3987841,60
9653,4508787,4506433,4506433,60
9693,4150477,3985944,3985944,60
9700,4153242,3987788,3987788,60
9719,3032293,2864275,2864275,60
9724,4465085,4017975,4017975,60
9740,4153398,3987831,3987831,60
9753,4153360,3987809,3987809,60
9765,4153181,3987764,3987764,60
9768,4508786,4506432,4506432,60
9773,4508785,4506431,4506431,60
